slot,strong_team_name,weak_team_name,strong_team,weak_team,strong_team_espn,weak_team_espn,strong_score,weak_score,status,conference,date
R3Y1,Kansas,Purdue,1242,1345,2305,2509,98,66,Final,Y,3/16/2017
R3Y2,Michigan,Oregon,1276,1332,130,2483,68,69,Final,Y,3/16/2017
R3Z1,North Carolina,Butler,1314,1139,153,2086,92,80,Final,Z,3/16/2017
R3Z2,Kentucky,UCLA,1246,1417,96,26,86,75,Final,Z,3/16/2017
R4W1,Florida,South Carolina,1196,1376,57,2579,70,77,Final,W,3/16/2017
R4X1,Gonzaga,Xavier,1211,1462,2250,2752,83,59,Final,X,3/16/2017
R4Y1,Kansas,Oregon,1242,1332,2305,2483,60,74,Final,Y,3/16/2017
R4Z1,North Carolina,Kentucky,1314,1246,153,96,75,73,Final,Z,3/16/2017
R5WX,South Carolina,Gonzaga,1376,1211,2579,2250,0,0,Scheduled,W,3/16/2017
R5YZ,Oregon,North Carolina,1332,1314,2483,153,0,0,Scheduled,Y,3/16/2017
R6CH,,,0,0,,,0,0,TBA,C,3/16/2017
